source_platform,listing_id,title,make,model,year,mileage_km,engine_cc,fuel_type,transmission,body_type,price_jpy,price_usd,cf_price_usd,destination_port,currency,location,listing_url,image_url,is_cleaned,scraped_at
BE FORWARD,CE131837,2023 AUDI A3 SEDAN 40TFSIS,Audi,A3 Sedan 40Tfsis,2023.0,13000.0,0.0,Petrol,Automatic,Sedan,3216418.0,21550.0,23584.0,Mombasa,USD,Hokkaido,https://www.beforward.jp/audi/a3-sedan/ce131837/id/16013273/,https://image-cdn.beforward.jp/medium/202607/16013273/CE131837_204b2683.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CC817680,2021 AUDI A3,Audi,A3,2021.0,33552.0,0.0,Petrol,Automatic,Sedan,2071642.0,13880.0,,,USD,Nagoya,https://www.beforward.jp/audi/a3/cc817680/id/14839079/,https://image-cdn.beforward.jp/medium/202604/14839079/CC817680_1e231099.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE128372,2022 AUDI Q3,Audi,Q3,2022.0,35000.0,500.0,Petrol,Automatic,Sedan,3505970.0,23490.0,,,USD,Nagoya,https://www.beforward.jp/audi/q3/ce128372/id/16009842/,https://image-cdn.beforward.jp/medium/202607/16009842/CE128372_20491529.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE127514,2021 AUDI Q2 1ST,Audi,Q2 1St,2021.0,34358.0,500.0,Petrol,Automatic,Sedan,2485075.0,16650.0,,,USD,Yokohama,https://www.beforward.jp/audi/q2/ce127514/id/16008935/,https://image-cdn.beforward.jp/medium/202607/16008935/CE127514_2048101c.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE127523,2019 AUDI Q5 2.040TDI,Audi,Q5 2.040Tdi,2019.0,44461.0,0.0,Petrol,Automatic,Sedan,2128358.0,14260.0,,,USD,Yokohama,https://www.beforward.jp/audi/q5/ce127523/id/16008944/,https://image-cdn.beforward.jp/medium/202607/16008944/CE127523_2048110e.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE130189,2018 AUDI A4,Audi,A4,2018.0,42000.0,0.0,Petrol,Automatic,Sedan,1908955.0,12790.0,14804.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/a4/ce130189/id/16011656/,https://image-cdn.beforward.jp/medium/202607/16011656/CE130189_2049c360.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE127201,2019 AUDI A6 55TFSIQUATTROSLINE,Audi,A6 55Tfsiquattrosline,2019.0,85256.0,0.0,Petrol,Automatic,Sedan,2147761.0,14390.0,16572.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/a6/ce127201/id/16008622/,https://image-cdn.beforward.jp/medium/202607/16008622/CE127201_2047ee5b.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD918187,2020 AUDI Q5,Audi,Q5,2020.0,26589.0,0.0,Diesel,Automatic,Sedan,2697015.0,18070.0,20348.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/q5/cd918187/id/15875692/,https://image-cdn.beforward.jp/medium/202607/15875692/CD918187_2001b354.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CD827206,2022 AUDI Q3,Audi,Q3,2022.0,16882.0,0.0,Diesel,Automatic,Sedan,2649254.0,17750.0,19850.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/q3/cd827206/id/15784189/,https://image-cdn.beforward.jp/medium/202607/15784189/CD827206_1fd72e6e.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CC614405,2025 AUDI A5,Audi,A5,2025.0,4691.0,0.0,Petrol,Automatic,Sedan,4189552.0,28070.0,,,USD,Nagoya,https://www.beforward.jp/audi/a5/cc614405/id/14635323/,https://image-cdn.beforward.jp/medium/202603/14635323/CC614405_1dc5e815.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124622,2023 AUDI A4,Audi,A4,2023.0,18000.0,0.0,Petrol,Automatic,Sedan,3144776.0,21070.0,,,USD,Nagoya,https://www.beforward.jp/audi/a4/ce124622/id/16006038/,https://image-cdn.beforward.jp/medium/202607/16006038/CE124622_20463125.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124694,2022 AUDI A4,Audi,A4,2022.0,45153.0,0.0,Petrol,Automatic,Sedan,3283582.0,22000.0,,,USD,Yokohama,https://www.beforward.jp/audi/a4/ce124694/id/16006110/,https://image-cdn.beforward.jp/medium/202607/16006110/CE124694_20463c4e.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124977,2018 AUDI A4,Audi,A4,2018.0,59962.0,400.0,Petrol,Automatic,Sedan,2119403.0,14200.0,,,USD,Kobe,https://www.beforward.jp/audi/a4/ce124977/id/16006393/,https://image-cdn.beforward.jp/medium/202607/16006393/CE124977_20466a83.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124999,2018 AUDI A4,Audi,A4,2018.0,64771.0,400.0,Petrol,Automatic,Sedan,1974627.0,13230.0,,,USD,Yokohama,https://www.beforward.jp/audi/a4/ce124999/id/16006415/,https://image-cdn.beforward.jp/medium/202607/16006415/CE124999_20466dff.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124297,2019 AUDI Q8,Audi,Q8,2019.0,42464.0,0.0,Petrol,Automatic,Sedan,4334328.0,29040.0,31699.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/q8/ce124297/id/16005713/,https://image-cdn.beforward.jp/medium/202607/16005713/CE124297_2045ff12.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124592,2018 AUDI A1,Audi,A1,2018.0,58659.0,0.0,Petrol,Automatic,Sedan,752239.0,5040.0,6760.0,Mombasa,USD,Nagoya,https://www.beforward.jp/audi/a1/ce124592/id/16006008/,https://image-cdn.beforward.jp/medium/202607/16006008/CE124592_20462c9d.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124614,2021 AUDI Q3,Audi,Q3,2021.0,50723.0,500.0,Petrol,Automatic,Sedan,2523881.0,16910.0,19010.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/q3/ce124614/id/16006030/,https://image-cdn.beforward.jp/medium/202607/16006030/CE124614_20462f8e.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124795,2019 AUDI A4 ALLROAD QUATTRO,Audi,A4 Allroad Quattro,2019.0,25672.0,0.0,Petrol,Automatic,Sedan,2225373.0,14910.0,17131.0,Mombasa,USD,Hokkaido,https://www.beforward.jp/audi/a4-allroad-quattro/ce124795/id/16006211/,https://image-cdn.beforward.jp/medium/202607/16006211/CE124795_20464ca5.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE124837,2021 AUDI Q3,Audi,Q3,2021.0,47769.0,0.0,Diesel,Automatic,Sedan,3211940.0,21520.0,23735.0,Mombasa,USD,Kobe,https://www.beforward.jp/audi/q3/ce124837/id/16006253/,https://image-cdn.beforward.jp/medium/202607/16006253/CE124837_20465388.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE125039,2019 AUDI TT,Audi,Tt,2019.0,16000.0,0.0,Petrol,Automatic,Sedan,3371642.0,22590.0,24455.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/tt/ce125039/id/16006455/,https://image-cdn.beforward.jp/medium/202607/16006455/CE125039_204673f2.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE125096,2023 AUDI Q5,Audi,Q5,2023.0,41000.0,0.0,Diesel,Automatic,Sedan,3659701.0,24520.0,26834.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/q5/ce125096/id/16006512/,https://image-cdn.beforward.jp/medium/202607/16006512/CE125096_20467d69.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE125108,2024 AUDI Q3,Audi,Q3,2024.0,21890.0,0.0,Diesel,Automatic,Sedan,3871642.0,25940.0,28155.0,Mombasa,USD,Hokkaido,https://www.beforward.jp/audi/q3/ce125108/id/16006524/,https://image-cdn.beforward.jp/medium/202607/16006524/CE125108_20467f6b.JPG?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE123953,2024 AUDI S3 2.54WD,Audi,S3 2.54Wd,2024.0,11934.0,480.0,Petrol,Automatic,Sedan,5961194.0,39940.0,41834.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/s3/ce123953/id/16005362/,https://image-cdn.beforward.jp/medium/202607/16005362/CE123953_2045bceb.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE123431,2020 AUDI Q3,Audi,Q3,2020.0,56000.0,0.0,Diesel,Automatic,Sedan,2619403.0,17550.0,19676.0,Mombasa,USD,Kyushu,https://www.beforward.jp/audi/q3/ce123431/id/16004838/,https://image-cdn.beforward.jp/medium/202607/16004838/CE123431_20456f22.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121529,2018 AUDI Q7,Audi,Q7,2018.0,77000.0,0.0,Petrol,Automatic,Sedan,2485075.0,16650.0,,,USD,Yokohama,https://www.beforward.jp/audi/q7/ce121529/id/16002913/,https://image-cdn.beforward.jp/medium/202607/16002913/CE121529_2044232a.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121696,2024 AUDI Q3 35TFSIS,Audi,Q3 35Tfsis,2024.0,5889.0,500.0,Petrol,Automatic,Sedan,3592537.0,24070.0,,,USD,Osaka,https://www.beforward.jp/audi/q3/ce121696/id/16003081/,https://image-cdn.beforward.jp/medium/202607/16003081/CE121696_20443e1a.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121701,2024 AUDI Q7 50TDIS,Audi,Q7 50Tdis,2024.0,16743.0,0.0,Petrol,Automatic,Sedan,6086567.0,40780.0,,,USD,Osaka,https://www.beforward.jp/audi/q7/ce121701/id/16003086/,https://image-cdn.beforward.jp/medium/202607/16003086/CE121701_20443e82.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121702,2024 AUDI Q3 35TDIS,Audi,Q3 35Tdis,2024.0,4071.0,0.0,Petrol,Automatic,Sedan,3813433.0,25550.0,,,USD,Osaka,https://www.beforward.jp/audi/q3/ce121702/id/16003087/,https://image-cdn.beforward.jp/medium/202607/16003087/CE121702_20443e98.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121705,2024 AUDI Q4 E-TRON 45S,Audi,Q4 E-Tron 45S,2024.0,8378.0,,Petrol,Automatic,Sedan,3737313.0,25040.0,,,USD,Osaka,https://www.beforward.jp/audi/q4-e-tron/ce121705/id/16003090/,https://image-cdn.beforward.jp/medium/202607/16003090/CE121705_20443ec3.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121796,2023 AUDI Q7,Audi,Q7,2023.0,11776.0,0.0,Petrol,Automatic,Sedan,6038806.0,40460.0,,,USD,Osaka,https://www.beforward.jp/audi/q7/ce121796/id/16003183/,https://image-cdn.beforward.jp/medium/202607/16003183/CE121796_204448ff.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121361,2022 AUDI TT,Audi,Tt,2022.0,28037.0,0.0,Petrol,Automatic,Sedan,4429851.0,29680.0,31484.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/tt/ce121361/id/16002745/,https://image-cdn.beforward.jp/medium/202607/16002745/CE121361_204404db.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121129,2021 AUDI A5,Audi,A5,2021.0,33000.0,0.0,Diesel,Automatic,Sedan,3352239.0,22460.0,24394.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/a5/ce121129/id/16002508/,https://image-cdn.beforward.jp/medium/202607/16002508/CE121129_2043a3f8.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121709,2024 AUDI A4 40TDIS,Audi,A4 40Tdis,2024.0,8789.0,0.0,Diesel,Automatic,Sedan,3688060.0,24710.0,26697.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/a4/ce121709/id/16003094/,https://image-cdn.beforward.jp/medium/202607/16003094/CE121709_20443f35.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121712,2023 AUDI A8 55TFSI,Audi,A8 55Tfsi,2023.0,10787.0,0.0,Petrol,Automatic,Sedan,5662687.0,37940.0,40281.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/a8/ce121712/id/16003099/,https://image-cdn.beforward.jp/medium/202607/16003099/CE121712_20443f7e.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121877,2025 AUDI A5 TFSI,Audi,A5 Tfsi,2025.0,9452.0,0.0,Petrol,Automatic,Sedan,4295522.0,28780.0,30883.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/a5/ce121877/id/16003264/,https://image-cdn.beforward.jp/medium/202607/16003264/CE121877_2044528a.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121878,2023 AUDI RS6,Audi,Rs6,2023.0,14754.0,0.0,Petrol,Automatic,Sedan,14040299.0,94070.0,96349.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/rs6/ce121878/id/16003265/,https://image-cdn.beforward.jp/medium/202607/16003265/CE121878_2044529f.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121879,2020 AUDI E- TRON 551ST,Audi,E- Tron 551St,2020.0,15208.0,,Electric,Automatic,Sedan,2677612.0,17940.0,,,USD,Yokohama,https://www.beforward.jp/audi/e-tron/ce121879/id/16003266/,https://image-cdn.beforward.jp/medium/202607/16003266/CE121879_204452b4.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121880,2023 AUDI A8 55TFSI,Audi,A8 55Tfsi,2023.0,30168.0,0.0,Petrol,Automatic,Sedan,4507463.0,30200.0,32577.0,Mombasa,USD,Yokohama,https://www.beforward.jp/audi/a8/ce121880/id/16003267/,https://image-cdn.beforward.jp/medium/202607/16003267/CE121880_204452c7.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121930,2025 AUDI Q6,Audi,Q6,2025.0,4534.0,,Electric,Automatic,Sedan,6047761.0,40520.0,,,USD,Yokohama,https://www.beforward.jp/audi/q6/ce121930/id/16003317/,https://image-cdn.beforward.jp/medium/202607/16003317/CE121930_20445790.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE121931,2025 AUDI A3 30TFSIS,Audi,A3 30Tfsis,2025.0,6319.0,500.0,Petrol,Automatic,Sedan,3447761.0,23100.0,24974.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/a3/ce121931/id/16003318/,https://image-cdn.beforward.jp/medium/202607/16003318/CE121931_204457cb.jpg?w=200,1,2026-07-22 12:48:11.230783
BE FORWARD,CE122030,2024 AUDI A7 45TFSIS,Audi,A7 45Tfsis,2024.0,10317.0,0.0,Petrol,Automatic,Sedan,5662687.0,37940.0,40050.0,Mombasa,USD,Osaka,https://www.beforward.jp/audi/a7/ce122030/id/16003418/,https://image-cdn.beforward.jp/medium/202607/16003418/CE122030_2044639d.jpg?w=200,1,2026-07-22 12:48:11.230783
